seed_type,scov_type,time,scov
SVRM,b_abs,41001,379.2
SVRM,b_abs,42001,379.2
SVRM,b_abs,43001,380.4
Manual,edge,0,0.0
Manual,edge,1,4.0
Manual,edge,1001,140.4
Manual,edge,2001,154.6
Manual,edge,3001,163.6
Manual,edge,4001,165.8
Manual,edge,5001,170.4
Manual,edge,6001,172.2
Manual,edge,7001,175.0
Manual,edge,8001,176.8
Manual,edge,9001,180.2
Manual,edge,10001,181.8
Manual,edge,11001,183.4
Manual,edge,12001,184.0
Manual,edge,13001,185.2
Manual,edge,14001,186.0
Manual,edge,15001,187.4
Manual,edge,16001,188.6
Manual,edge,17001,189.2
Manual,edge,18001,190.4
Manual,edge,19001,190.8
Manual,edge,20001,191.8
Manual,edge,21001,192.2
Manual,edge,22001,194.4
Manual,edge,23001,194.4
Manual,edge,24001,194.6
Manual,edge,25001,195.4
Manual,edge,26001,195.6
Manual,edge,27001,195.6
Manual,edge,28001,195.6
Manual,edge,29001,196.0
Manual,edge,30001,196.0
Manual,edge,31001,196.6
Manual,edge,32001,197.6
Manual,edge,33001,197.8
Manual,edge,34001,198.0
Manual,edge,35001,198.0
Manual,edge,36001,198.4
Manual,edge,37001,198.4
Manual,edge,38001,198.8
Manual,edge,39001,199.0
Manual,edge,40001,199.0
Manual,edge,41001,199.2
Manual,edge,42001,199.6
Manual,edge,43001,199.8
Manual,node,0,0.0
Manual,node,1,4.0
Manual,node,1001,23.4
Manual,node,2001,23.6
Manual,node,3001,23.6
Manual,node,4001,23.6
Manual,node,5001,23.8
Manual,node,6001,23.8
Manual,node,7001,23.8
Manual,node,8001,23.8
Manual,node,9001,23.8
Manual,node,10001,24.0
Manual,node,11001,24.0
Manual,node,12001,24.0
Manual,node,13001,24.0
Manual,node,14001,24.0
Manual,node,15001,24.0
Manual,node,16001,24.0
Manual,node,17001,24.0
Manual,node,18001,24.0
Manual,node,19001,24.0
Manual,node,20001,24.0
Manual,node,21001,24.0
Manual,node,22001,24.2
Manual,node,23001,24.2
Manual,node,24001,24.2
Manual,node,25001,24.2
Manual,node,26001,24.2
Manual,node,27001,24.2
Manual,node,28001,24.2
Manual,node,29001,24.2
Manual,node,30001,24.2
Manual,node,31001,24.2
Manual,node,32001,24.2
Manual,node,33001,24.2
Manual,node,34001,24.2
Manual,node,35001,24.2
Manual,node,36001,24.2
Manual,node,37001,24.2
Manual,node,38001,24.2
Manual,node,39001,24.2
Manual,node,40001,24.2
Manual,node,41001,24.2
Manual,node,42001,24.2
Manual,node,43001,24.2
Manual,l_abs,0,0.0
Manual,l_abs,1,389.8
Manual,l_abs,1001,674.2
Manual,l_abs,2001,704.4
Manual,l_abs,3001,708.4
Manual,l_abs,4001,709.2
Manual,l_abs,5001,711.4
Manual,l_abs,6001,713.2
Manual,l_abs,7001,714.6
Manual,l_abs,8001,716.2
Manual,l_abs,9001,716.2
Manual,l_abs,10001,717.8
Manual,l_abs,11001,728.4
Manual,l_abs,12001,728.4
Manual,l_abs,13001,731.8
Manual,l_abs,14001,733.0
Manual,l_abs,15001,734.2
Manual,l_abs,16001,738.0
Manual,l_abs,17001,738.0
Manual,l_abs,18001,740.0
Manual,l_abs,19001,745.2
Manual,l_abs,20001,745.4
Manual,l_abs,21001,745.6
Manual,l_abs,22001,748.0
Manual,l_abs,23001,749.2
Manual,l_abs,24001,749.2
Manual,l_abs,25001,752.0
Manual,l_abs,26001,752.0
Manual,l_abs,27001,752.0
Manual,l_abs,28001,752.0
Manual,l_abs,29001,752.6
Manual,l_abs,30001,752.6
Manual,l_abs,31001,753.2
Manual,l_abs,32001,754.8
Manual,l_abs,33001,754.8
Manual,l_abs,34001,755.0
Manual,l_abs,35001,755.0
Manual,l_abs,36001,755.2
Manual,l_abs,37001,755.2
Manual,l_abs,38001,755.2
Manual,l_abs,39001,755.2
Manual,l_abs,40001,755.2
Manual,l_abs,41001,755.2
Manual,l_abs,42001,757.0
Manual,l_abs,43001,757.0
Manual,b_abs,0,0.0
Manual,b_abs,1,157.4
Manual,b_abs,1001,321.4
Manual,b_abs,2001,334.4
Manual,b_abs,3001,337.2
Manual,b_abs,4001,337.8
Manual,b_abs,5001,339.0
Manual,b_abs,6001,340.4
Manual,b_abs,7001,341.4
Manual,b_abs,8001,342.6
Manual,b_abs,9001,343.8
Manual,b_abs,10001,345.4
Manual,b_abs,11001,350.4
Manual,b_abs,12001,350.4
Manual,b_abs,13001,353.4
Manual,b_abs,14001,354.2
Manual,b_abs,15001,355.0
Manual,b_abs,16001,357.6
Manual,b_abs,17001,357.6
Manual,b_abs,18001,359.4
Manual,b_abs,19001,362.8
Manual,b_abs,20001,363.2
Manual,b_abs,21001,363.4
Manual,b_abs,22001,365.0
Manual,b_abs,23001,366.6
Manual,b_abs,24001,366.6
Manual,b_abs,25001,369.4
Manual,b_abs,26001,369.4
Manual,b_abs,27001,369.4
Manual,b_abs,28001,369.4
Manual,b_abs,29001,369.8
Manual,b_abs,30001,369.8
Manual,b_abs,31001,370.2
Manual,b_abs,32001,373.6
Manual,b_abs,33001,373.6
Manual,b_abs,34001,373.8
Manual,b_abs,35001,373.8
Manual,b_abs,36001,374.0
Manual,b_abs,37001,374.0
Manual,b_abs,38001,374.0
Manual,b_abs,39001,374.0
Manual,b_abs,40001,374.0
Manual,b_abs,41001,374.0
Manual,b_abs,42001,374.8
Manual,b_abs,43001,375.0
