mutations,run
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:(null),1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:havoc,1
op:splice,1
op:(null),1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:splice,1
op:havoc,1
op:splice,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
op:havoc,1
op:havoc,1
op:splice,1
op:havoc,1
op:havoc,1
op:splice,1
op:splice,1
op:havoc,1
