mutations,run
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:(null),5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:havoc,5
op:splice,5
op:havoc,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:(null),5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
op:splice,5
op:splice,5
op:splice,5
op:havoc,5
op:splice,5
